"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9760000705719","3.17300009727478","3.46300005912781","3.61199998855591","3.65300011634827","3.62100005149841","3.6029999256134","3.53600001335144","3.60599994659424","3.51699995994568","3.42600011825562","3.54999995231628","3.41899991035461","3.08699989318848","2.94199991226196","2.82500004768372","2.12800002098084","2.49399995803833","2.47000002861023","2.27500009536743","1.98399996757507","1.69200003147125","1.72500002384186","1.73500001430511","1.67900002002716","1.63399994373322","1.55900001525879","1.54200005531311","1.51900005340576",
"Angola","AGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6019992828369","20.9249992370605","21.25","21.1590003967285","21.1480007171631","20.0659999847412","21.4650001525879","20.4379997253418","20.8969993591309","22.8850002288818","23.1149997711182","23.8959999084473","23.9249992370605","23.6429996490479","20.5319995880127","17.673999786377","14.6330003738403","12.043999671936","10.6090002059937","9.08899974822998","7.36199998855591","7.35900020599365","7.4539999961853","7.42899990081787","7.27899980545044","7.2810001373291","7.13899993896484","7.25299978256226","7.24599981307983",
"Albania","ALB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7810001373291","17.6529998779297","17.6809997558594","17.5270004272461","17.6070003509521","18.3579998016357","18.3110008239746","18.3229999542236","18.5690002441406","17.7670001983643","17.4109992980957","17.5100002288818","17.496000289917","17.2719993591309","16.8740005493164","16.3939990997314","15.9659996032715","13.0600004196167","13.673999786377","14.0860004425049","13.4809999465942","13.3760004043579","15.8660001754761","17.4899997711182","17.0799999237061","15.2200002670288","13.75","13.8979997634888","13.956000328064",
"Andorra","AND","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6352125773329","12.016926263076","12.9373975974798","13.0975281822877","13.4092794428937","12.6473168469526","12.1089037735545","12.1702935374857","12.3408424691727","12.757888338157","12.5577345124838","12.5957637654748","12.5069819268835","11.4936129186414","11.2656239411072","10.3750576137235","9.84624521710671","9.47116753195535","9.25748361488176","9.17646167586097","10.0319286198681","10.2266528659117","10.2118197203886","10.2106746479984","10.2120775459629","9.96181748090864","9.95111010082331","9.93881687368602","9.931899921755",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63199996948242","1.69900000095367","1.80099999904633","1.807000041008","1.79999995231628","1.88100004196167","1.96399998664856","2.03900003433228","2.17499995231628","2.25","2.40300011634827","2.64000010490417","2.86700010299683","3.03399991989136","3.11999988555908","2.77300000190735","2.46700000762939","2.33299994468689","2.69899988174438","2.66300010681152","2.49399995803833","2.40899991989136","2.29200005531311","2.06100010871887","1.83599996566772","1.6360000371933","2.46300005912781","2.57500004768372","2.64299988746643",
"Argentina","ARG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44000005722046","6.3600001335144","10.1000003814697","11.7600002288818","18.7999992370605","17.1100006103516","14.8199996948242","12.6499996185303","14.0500001907349","15","17.3199996948242","19.5900001525879","15.3599996566772","13.5220003128052","11.5059995651245","10.0769996643066","8.47000026702881","7.83699989318848","8.64500045776367","7.71400022506714","7.17899990081787","7.21700000762939","7.09999990463257","7.26800012588501","7.64300012588501","8.01599979400635","8.34700012207031","9.48299980163574","9.98499965667725",
"Armenia","ARM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60000002384186","1.79999995231628","5.30000019073486","6.59999990463257","6.69999980926514","9.30000019073486","10.8000001907349","9.39999961853027","11.1999998092651","11.2530002593994","11.4390001296997","11.5170001983643","11.2329998016357","11.2159996032715","10.8000001907349","10.2810001373291","9.8120002746582","16.3680000305176","18.7399997711182","19.007999420166","18.443000793457","17.3099994659424","16.1790008544922","17.4979991912842","18.2609996795654","17.617000579834","17.8269996643066","17.7119998931885","17.7070007324219",
"American Samoa","ASM","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
